0:0:0:0:0:0:0:1 - - [25/May/2021:09:24:48 +0700] "GET /TrainingGESO/pages/Erp/Hocsinhlist.jsp HTTP/1.1" 200 4020
0:0:0:0:0:0:0:1 - - [25/May/2021:09:24:51 +0700] "POST /TrainingGESO/HocSinhsvl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/May/2021:09:24:51 +0700] "GET /TrainingGESO/pages/Erp/Hocsinhlist.jsp HTTP/1.1" 200 2876
0:0:0:0:0:0:0:1 - - [25/May/2021:09:24:53 +0700] "POST /TrainingGESO/HocSinhsvl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/May/2021:09:24:53 +0700] "GET /TrainingGESO/pages/Erp/Hocsinhlist.jsp HTTP/1.1" 200 4020
0:0:0:0:0:0:0:1 - - [25/May/2021:09:24:55 +0700] "POST /TrainingGESO/HocSinhsvl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/May/2021:09:24:55 +0700] "GET /TrainingGESO/pages/Erp/hocsinhnew.jsp HTTP/1.1" 500 2933
0:0:0:0:0:0:0:1 - - [25/May/2021:09:26:10 +0700] "GET /TrainingGESO/Center/mainpage.jsp HTTP/1.1" 200 668
0:0:0:0:0:0:0:1 - - [25/May/2021:09:26:10 +0700] "GET /TrainingGESO/pages/Center/top.jsp HTTP/1.1" 200 2043
0:0:0:0:0:0:0:1 - - [25/May/2021:09:26:10 +0700] "GET /TrainingGESO/pages/Center/home.jsp HTTP/1.1" 200 1310
0:0:0:0:0:0:0:1 - - [25/May/2021:09:26:10 +0700] "GET /TrainingGESO/pages/Center/leftMenu.jsp HTTP/1.1" 200 35169
0:0:0:0:0:0:0:1 - - [25/May/2021:09:26:10 +0700] "GET /TrainingGESO/pages/js/scripts.js HTTP/1.1" 404 1051
0:0:0:0:0:0:0:1 - - [25/May/2021:09:26:10 +0700] "GET /TrainingGESO/pages/js/md5.js HTTP/1.1" 404 1039
0:0:0:0:0:0:0:1 - - [25/May/2021:09:26:10 +0700] "GET /TrainingGESO/pages/Center/print.css HTTP/1.1" 404 1060
0:0:0:0:0:0:0:1 - - [25/May/2021:09:26:12 +0700] "GET /TrainingGESO/HocSinhsvl?userId=100002 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/May/2021:09:26:12 +0700] "GET /TrainingGESO/pages/Erp/Hocsinhlist.jsp HTTP/1.1" 200 2855
0:0:0:0:0:0:0:1 - - [25/May/2021:09:26:16 +0700] "POST /TrainingGESO/HocSinhsvl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/May/2021:09:26:16 +0700] "GET /TrainingGESO/pages/Erp/Hocsinhlist.jsp HTTP/1.1" 200 4020
0:0:0:0:0:0:0:1 - - [25/May/2021:09:26:17 +0700] "POST /TrainingGESO/HocSinhsvl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/May/2021:09:26:17 +0700] "GET /TrainingGESO/pages/Erp/hocsinhnew.jsp HTTP/1.1" 500 2628
0:0:0:0:0:0:0:1 - - [25/May/2021:09:38:51 +0700] "GET /TrainingGESO/Center/mainpage.jsp HTTP/1.1" 200 668
0:0:0:0:0:0:0:1 - - [25/May/2021:09:38:51 +0700] "GET /TrainingGESO/pages/Center/top.jsp HTTP/1.1" 200 2043
0:0:0:0:0:0:0:1 - - [25/May/2021:09:38:51 +0700] "GET /TrainingGESO/pages/Center/leftMenu.jsp HTTP/1.1" 200 35169
0:0:0:0:0:0:0:1 - - [25/May/2021:09:38:51 +0700] "GET /TrainingGESO/pages/Center/home.jsp HTTP/1.1" 200 1310
0:0:0:0:0:0:0:1 - - [25/May/2021:09:38:51 +0700] "GET /TrainingGESO/pages/js/scripts.js HTTP/1.1" 404 1051
0:0:0:0:0:0:0:1 - - [25/May/2021:09:38:51 +0700] "GET /TrainingGESO/pages/js/md5.js HTTP/1.1" 404 1039
0:0:0:0:0:0:0:1 - - [25/May/2021:09:38:51 +0700] "GET /TrainingGESO/pages/Center/print.css HTTP/1.1" 404 1060
0:0:0:0:0:0:0:1 - - [25/May/2021:09:38:53 +0700] "GET /TrainingGESO/HocSinhsvl?userId=100002 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/May/2021:09:38:53 +0700] "GET /TrainingGESO/pages/Erp/Hocsinhlist.jsp HTTP/1.1" 200 2855
0:0:0:0:0:0:0:1 - - [25/May/2021:09:38:55 +0700] "POST /TrainingGESO/HocSinhsvl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/May/2021:09:38:55 +0700] "GET /TrainingGESO/pages/Erp/Hocsinhlist.jsp HTTP/1.1" 200 4020
0:0:0:0:0:0:0:1 - - [25/May/2021:09:38:56 +0700] "POST /TrainingGESO/HocSinhsvl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/May/2021:09:38:56 +0700] "GET /TrainingGESO/pages/Erp/hocsinhnew.jsp HTTP/1.1" 500 2628
0:0:0:0:0:0:0:1 - - [25/May/2021:09:39:38 +0700] "GET /TrainingGESO/Center/mainpage.jsp HTTP/1.1" 200 668
0:0:0:0:0:0:0:1 - - [25/May/2021:09:39:38 +0700] "GET /TrainingGESO/pages/Center/top.jsp HTTP/1.1" 200 2043
0:0:0:0:0:0:0:1 - - [25/May/2021:09:39:39 +0700] "GET /TrainingGESO/pages/Center/leftMenu.jsp HTTP/1.1" 200 35169
0:0:0:0:0:0:0:1 - - [25/May/2021:09:39:39 +0700] "GET /TrainingGESO/pages/Center/home.jsp HTTP/1.1" 200 1310
0:0:0:0:0:0:0:1 - - [25/May/2021:09:39:39 +0700] "GET /TrainingGESO/pages/js/md5.js HTTP/1.1" 404 1039
0:0:0:0:0:0:0:1 - - [25/May/2021:09:39:39 +0700] "GET /TrainingGESO/pages/js/scripts.js HTTP/1.1" 404 1051
0:0:0:0:0:0:0:1 - - [25/May/2021:09:39:39 +0700] "GET /TrainingGESO/pages/js/scripts.js HTTP/1.1" 404 1051
0:0:0:0:0:0:0:1 - - [25/May/2021:09:39:39 +0700] "GET /TrainingGESO/pages/Center/print.css HTTP/1.1" 404 1060
0:0:0:0:0:0:0:1 - - [25/May/2021:09:39:41 +0700] "GET /TrainingGESO/HocSinhsvl?userId=100002 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/May/2021:09:39:41 +0700] "GET /TrainingGESO/pages/Erp/Hocsinhlist.jsp HTTP/1.1" 200 2855
0:0:0:0:0:0:0:1 - - [25/May/2021:09:39:42 +0700] "POST /TrainingGESO/HocSinhsvl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/May/2021:09:39:42 +0700] "GET /TrainingGESO/pages/Erp/Hocsinhlist.jsp HTTP/1.1" 200 4603
0:0:0:0:0:0:0:1 - - [25/May/2021:09:39:44 +0700] "POST /TrainingGESO/HocSinhsvl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/May/2021:09:39:44 +0700] "GET /TrainingGESO/pages/Erp/hocsinhnew.jsp HTTP/1.1" 200 3789
0:0:0:0:0:0:0:1 - - [25/May/2021:09:39:57 +0700] "POST /TrainingGESO/HocSinhsvl HTTP/1.1" 500 1460
0:0:0:0:0:0:0:1 - - [25/May/2021:09:42:36 +0700] "GET /TrainingGESO/Center/mainpage.jsp HTTP/1.1" 200 668
