0:0:0:0:0:0:0:1 - - [03/Jul/2021:10:57:46 +0700] "GET /TrainingGESO/pages/Erp/..scripts/jquery-1.js HTTP/1.1" 404 1087
0:0:0:0:0:0:0:1 - - [03/Jul/2021:10:57:46 +0700] "GET /TrainingGESO/pages/css/datepicker.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jul/2021:10:57:46 +0700] "GET /TrainingGESO/pages/css/mybutton.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jul/2021:10:57:46 +0700] "GET /TrainingGESO/pages/css/jquery-ui.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jul/2021:10:57:46 +0700] "GET /TrainingGESO/pages/Erp/..scripts/jquery-1.js HTTP/1.1" 404 1087
0:0:0:0:0:0:0:1 - - [03/Jul/2021:10:57:46 +0700] "GET /TrainingGESO/pages/scripts/lang/en.js HTTP/1.1" 404 1066
0:0:0:0:0:0:0:1 - - [03/Jul/2021:10:57:46 +0700] "GET /TrainingGESO/pages/css/impression.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jul/2021:10:57:49 +0700] "POST /TrainingGESO/DonBanHang_ThuSvl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [03/Jul/2021:10:57:49 +0700] "GET /TrainingGESO/pages/Erp/DonHangNew_Thu.jsp HTTP/1.1" 200 41983
0:0:0:0:0:0:0:1 - - [03/Jul/2021:10:57:49 +0700] "GET /TrainingGESO/pages/scripts/erp_SanPhamList_Thu.js HTTP/1.1" 200 10091
0:0:0:0:0:0:0:1 - - [03/Jul/2021:10:57:49 +0700] "GET /TrainingGESO/pages/images/Back_undo.png HTTP/1.1" 200 2184
0:0:0:0:0:0:0:1 - - [03/Jul/2021:10:59:23 +0700] "GET /TrainingGESO/ HTTP/1.1" 200 3711
0:0:0:0:0:0:0:1 - - [03/Jul/2021:10:59:23 +0700] "GET /TrainingGESO/pages/images/point_make_area_transparent.png HTTP/1.1" 404 1126
0:0:0:0:0:0:0:1 - - [03/Jul/2021:10:59:23 +0700] "GET /TrainingGESO/CaptchaSvl HTTP/1.1" 200 2612
0:0:0:0:0:0:0:1 - - [03/Jul/2021:10:59:23 +0700] "GET /TrainingGESO/pages/css/pages/images/wmove2doc.png HTTP/1.1" 404 1102
0:0:0:0:0:0:0:1 - - [03/Jul/2021:10:59:23 +0700] "GET /TrainingGESO/pages/css/pages/images/borderBottomLeft.png HTTP/1.1" 404 1123
